company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
H20 Capital Innovation,"H20 Capital is an early-stage cross border venture capital fund with operations in the USA and Latin America, focused on backing the next wave of disruptive entrepreneurs.",https://www.h20capital.com/,operations@h20capital.com,"Daniel Lloreda, Mauricio Porras",Florida,Mostly Follow,-,Software / Code,Seed,-,-,-,"Marketplaces
E-Commerce
Supply Chain & Logistics
Financial Services / Payments
Food & Beverages
Healthcare
Real Estate
SaaS",-,https://www.linkedin.com/company/h20capital,https://www.crunchbase.com/organization/h20-capital-innovation
Hack VC,Hack VC is a crypto-native venture capital firm focused on investing in early-stage startups.,https://hack-vc.com/,contact+letsconnect@hack.vc,"Alexander Pack, Ed Roman, Julian Rachman, Hsin-Ju Chuang, Shuyao Kong",California,Mostly Lead,-,"Software / Code
Services",Seed,-,-,Pre-Seed,"Web3 / Blockchain
Financial Services / Payments
Marketplaces",-,https://www.linkedin.com/company/hackvc,https://www.crunchbase.com/organization/hack-vc
Hannah Grey,"Hannah Grey is a first check venture capital firm investing in customer centric founders redefining everyday experiences. Partnering with entrepreneurs impacting the daily lives of employees, patients, business owners, caretakers, creators, students, and consumers.",https://www.hannahgrey.com/,"jessica@hannahgrey.com, kate@hannahgrey.com","Kate Beardsley, Jessica Peltz-Zatulove",New York,Mostly Lead,"$250-500k
$500k-1m","Services
Software / Code","Seed
Pre-Seed","5-7%
7-10%",Agnostic,-,"Advertising & Media
AI / ML
CleanTech / Impact / Sustainability
Healthcare
SaaS
Future of Work
Data & Analytics
Financial Services / Payments
Education",-,https://www.linkedin.com/company/hannah-grey/,https://www.crunchbase.com/organization/hannah-grey
Hard Yaka,"Investing in insights that empower individuals and better society, with a core focus on portable identity, payments and marketplaces.",http://hardyaka.com/,jun@hardyaka.com,"Greg Kidd, Jun Hiraga, Margaret Slemmer, Chris Lewis, Kevin Leiske",Nevada,Mostly Follow,-,Software / Code,Seed,-,-,-,"Privacy & Security
Financial Services / Payments
Marketplaces",-,https://www.linkedin.com/company/hard-yaka/about/,https://www.crunchbase.com/organization/hard-yaka
Harlem Capital,"Harlem Capital is a venture capital firm on a mission to change the face of entrepreneurship by investing in 1,000 diverse founders over 20 years.",http://harlem.capital/,harlem.capital/pitch,"Henri Pierre-Jacques, Jarrid Tingle, Gabby Cazeau, Brandon Bryant, Nicole Detommaso",New York,Mostly Lead,$1-3m,Software / Code,Seed,"10-12%
> 12%",B2B,Pre-Seed,"SaaS
E-Commerce
AI / ML
Web3 / Blockchain
Financial Services / Payments","food & beverage, consumer goods, hardware, biotech",https://www.linkedin.com/company/harlem-capital-partners,https://www.crunchbase.com/organization/harlem-capital-partners
Harmony Partners,Harmony Partners is a New York-based venture capital firm that invests in expansion stage tech companies,http://www.harmonyvp.com/,info@harmonyvp.com,"Mark Lotke, Clemens Baumgart, Dan Lane",New York,Mostly Follow,-,Agnostic,Series A,-,-,-,"AI / ML
Financial Services / Payments
Privacy & Security
Healthcare
Data & Analytics",-,http://www.linkedin.com/company/5094249,https://www.crunchbase.com/organization/harmony-partners
Hatteras Venture Partners,"With over two decades of experience as early stage VC company builders, Hatteras Venture Partners has constructed a risk-mitigated, replicable value creation model. The cutting-edge companies we focus on range from those delivering therapeutic or diagnostic benefits to patients to companies disrupting the status quo in healthcare and accelerating the pace of innovation.",http://www.hatterasvp.com/,-,"Michael Dial, Clay B. Thorp, John Crumpler, Douglas Reed, Jeff Terrell, Kenneth B. Lee, Christy Shaffer, Lauren Pierce Flickinger, Ben Scruggs",North Carolina,Can Lead,-,Software / Code,Series A,-,-,-,"Biotech
Healthcare",-,http://www.linkedin.com/company/hatteras-venture-partners,https://www.crunchbase.com/organization/hatteras-venture-partners
Hawke Ventures,"Hawke Ventures is a track-to-lead check fund ($50k-$2m) in pre/seed and seed for eCommerce enablement, MarTech, and AdTech. We are strategic investors alongside Hawke Media, a performance marketing agency. Our team of 200+ marketing experts is currently working with 400+ brands - majority of our clients are small to mid-sized e-commerce brands.",https://www.hawkeventures.com/,mara@hawkeventures.com,"Mara Chaben, Clark Landry, Erik Huberman",California,Can Lead,$25-100k,Software / Code,"Pre-Seed
Seed",No Target,B2B,"Pre-Seed
Seed","Advertising & Media
Data & Analytics
AI / ML
Financial Services / Payments
SaaS
Sales & Marketing","Anything outside of ecommerce enablement, martech and adtech. We are heavily focused on any tech in a brand's tech stack so it can have overlap with fintech, logistics, supply chain, etc.",https://www.linkedin.com/company/hawke-ventures/?viewAsMember=true,
Haystack,Haystack is an institutional venture capital firm focused on early-stage investments.,http://www.haystack.vc/,-,"Semil Shah, Aashay Sanghvi",California,Mostly Follow,"$250-500k
$500k-1m",Agnostic,"Seed
Series A",-,-,-,"Consumer Goods
Supply Chain & Logistics
Future of Work
Real Estate
AI / ML
SaaS
Data & Analytics
Hardware
Financial Services / Payments",-,https://www.linkedin.com/company/haystackvc/about/,https://www.crunchbase.com/organization/haystack
Headline,Headline is a global venture capital firm investing in winning teams across stages and geographies.,http://headline.com/,hello@headline.com,"Rainer Hillebrand, Felix Oen, Michael Kent, Nikki Farb, Anna Vershebeniuk, Brian Yen, Dominic Wilhelm, Jingjing Gong, Jonathan M. Hayashi, Toshiaki Shimakawa",California,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
E-Commerce
SaaS
Healthcare
Advertising & Media
Consumer Goods",-,https://www.linkedin.com/company/headlinevc,https://www.crunchbase.com/organization/headlinevc
Healthworx,"At Healthworx we enable solutions that increase healthcare quality, affordability and accessibility for all.",https://www.healthworx.com/,comms@healthworx.com,Doba Parushev,Maryland,Mostly Follow,-,Agnostic,Seed,-,-,-,Healthcare,-,https://www.linkedin.com/company/hwx/,https://www.crunchbase.com/organization/healthworx-abce
Healthy Ventures,"We make high-conviction, early-stage investments in health tech removing friction in healthcare, typically infrastructural ""invisible technology"" that sits in the background of the healthcare market.",http://healthy.vc/,pitch@healthy.vc,Enmi Kendall,California,Mostly Lead,$1-3m,Software / Code,Seed,"10-12%
> 12%",B2B,Series A,Healthcare,"FDA-approved drugs and devices, pure services businesses, consumer wellness and health.",https://www.linkedin.com/company/healthy-ventures/,https://www.crunchbase.com/organization/healthy-ventures
Hearst Ventures,"Hearst Ventures, a corporate venture fund, invests in early-stage information, software and technology companies.",http://hearst.com/ventures,ventures@hearst.com,"Kenneth A. Bronfin, Scott English, Jacqueline Cegla",New York,Mostly Follow,-,Software / Code,Seed,-,-,-,"SaaS
AI / ML",-,https://www.linkedin.com/company/hearst-ventures/,https://www.crunchbase.com/organization/hearst-interactive-media
Heavybit,Heavybit is an early-stage venture capital firm and the premiere investor in developer-first startups.,https://www.heavybit.com/,membership@heavybit.com,"Tom Drummond, Joseph Ruscio, Jesse Robbins, Dana Oshiro, James Lindenbaum",California,Mostly Follow,"$500k-1m
$1-3m
> $3m",Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"Data & Analytics
IaaS
Privacy & Security",-,http://www.linkedin.com/company/heavybit,https://www.crunchbase.com/organization/heavybit-industries
Helios Climate Ventures,Helios invests broadly in climate tech with a specialization in the energy storage ecosystem which we see as enabling the growth of renewable energy and the electrification of transportation. We invest in solutions commensurate with the scope of the problem and are proud to be helping to commercialize and scale a few of them,https://helioscv.com/,info@helioscv.com,"Terry Kellogg, Jesse Johnson, Sam Kogan, Josh Grehan",Colorado,Can Lead,-,Agnostic,Series A,-,-,-,"Energy
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/helios-climate-ventures/,https://www.crunchbase.com/organization/helios-capital-ventures
Helium-3 Ventures,Helium-3 Ventures backs the best founders building the most exciting and innovative companies for earth and beyond.,https://helium-3ventures.com/,dave@helium-3ventures.com,"Matthew Bellamy, John Dauer",New York,Can Lead,-,Agnostic,"Seed
Series A",-,-,-,"Biotech
Hardware
Energy
Social / Communities
Industrial & Manufacturing
SaaS
Consumer Goods
CleanTech / Impact / Sustainability
AI / ML
Financial Services / Payments",-,https://www.linkedin.com/company/75016163/admin/,https://www.crunchbase.com/organization/helium-3-ventures
Henley Business Angels,"If you’re an entrepreneur seeking seed equity finance and are connected to Henley Business School, the University of Reading, or are based in the Thames Valley Area, Henley Business Angels would be delighted to receive an application from you.",http://henleybusinessangels.com/,jurek.sikorski@henley.ac.uk,Jurek Sikorski,New York,Mostly Follow,"$25-100k
$100-250k
$250-500k",Agnostic,Seed,-,-,-,"SaaS
Hardware
Food & Beverages
Healthcare
Real Estate
Consumer Goods","Certain sectors like arms & weapons, fossil fuel exploration and tobacco will not be considered.",https://www.linkedin.com/company/henley-business-angels,https://www.crunchbase.com/organization/henley-business-angels
Heroic Ventures,Heroic Ventures is an early-stage venture capital firm investing in heroes - the passionate and purposeful entrepreneurs solving real problems in huge markets.,http://www.heroicvc.com/,info@heroicvc.com,"Claire Zhang, Matt Robinson",California,Can Lead,-,-,"Pre-Seed
Seed",-,-,-,-,-,https://www.linkedin.com/company/heroic-ventures,https://www.crunchbase.com/organization/heroic-ventures
High Alpha,"High Alpha Capital is a venture fund, focused on making investments in enterprise software companies at the Seed and Series-A stage.",https://highalpha.com/,info@highalpha.com,"Kristian Andersen, Scott Dorsey, Mike Fitzgerald",Indiana,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,Pre-Seed,SaaS,-,https://www.linkedin.com/company/high-alpha/,https://www.crunchbase.com/organization/high-alpha-llc
HOF Capital,We invest in relentlessly ambitious entrepreneurs.,http://www.hofvc.com/,nyc@hof.capital,"Hisham Elhaddad, Onsi Sawiris, Paul Quigley",New York,Can Lead,-,Agnostic,"Seed
Series A",-,-,-,"AI / ML
Biotech
Consumer Goods
SaaS
Financial Services / Payments",-,https://www.linkedin.com/company/hof-capital/,https://www.crunchbase.com/organization/hof-capital
Homebrew,"We invest in mission-driven founders who embrace big – big ideas, big impact, big risk.",http://homebrew.co/,beth@homebrew.co,"Satya Patel, Hunter Walk",California,Mostly Follow,"$100-250k
$250-500k",Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
Hardware
SaaS
E-Commerce
Marketplaces
Healthcare
Agriculture & Farming
AI / ML
Advertising & Media
Web3 / Blockchain
CleanTech / Impact / Sustainability",-,https://www.crunchbase.com/organization/homebrew-ventures,
Hopelab,We offer investment and partnership support for founders committed to advancing mental health and well-being outcomes for young people from historically underserved communities.,https://hopelab.org/,hi@hopelab.org,Margaret Laws,California,Mostly Follow,-,Agnostic,Seed,-,-,-,"CleanTech / Impact / Sustainability
Healthcare",-,https://www.linkedin.com/company/hopelab,https://www.crunchbase.com/organization/hopelab
Human Capital,"We believe ambitious builders turn great ideas into great companies. We invest in founders, teams, and startups that share this mindset.",https://human.capital/,https://human.capital/contact,"Armaan Ali, Baris Akis, David Kite, Lauren Silberstein",California,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Healthcare
SaaS
Web3 / Blockchain
Consumer Goods
Privacy & Security",-,https://www.linkedin.com/company/humandotcapital/,https://www.crunchbase.com/organization/human-capital-da7c
Human Ventures,We partner with founders at the earliest stages—and back them until the world sees what we see.,http://human.vc/,human@human.vc,"Heather Hartnett, Michael Letta",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Healthcare
Future of Work
Food & Beverages
SaaS
Advertising & Media",-,https://www.linkedin.com/company/human-ventures-capital,https://www.crunchbase.com/organization/human-ventures-capital
Humba Ventures,"Humba Ventures is a pre-seed and seed fund in the Susa Ventures family. While Susa Ventures is focused on leading early stage rounds in traditional sectors like enterprise SaaS, fintech, healthcare, and logistics, Humba Ventures is mainly focused on smaller, emerging sectors and technologies like robotics and manufacturing, climate and energy, and defense and security. Humba also occasionally invests as a supportive, non-lead investor in traditional sectors.",https://www.humbaventures.com/,leo@humbaventures.com,"Leo Polovets, Pratyush Buddiga",Florida,"Can Lead
Mostly Follow","$250-500k
$500k-1m",Agnostic,"Pre-Seed
Seed",No Target,Agnostic,-,"CleanTech / Impact / Sustainability
Government
Hardware
Energy
Industrial & Manufacturing
Privacy & Security
Biotech",-,https://www.linkedin.com/company/humba-ventures/,https://www.crunchbase.com/organization/humba-ventures
Humboldt Fund,"We stand behind early-stage companies that synthesize engineering with physical and life sciences to create technologies that disrupt global conventions to solve critical issues of our time, while creating value and prosperity.",https://humboldtfund.com/,-,"Sebastian Bernales, Francisco Dopazo",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Food & Beverages
Healthcare
Energy
Natural Resources
Hardware",-,https://www.linkedin.com/company/humboldt-fund/,https://www.crunchbase.com/organization/humboldt-fund
Hustle Fund,Hustle Fund backs hilariously-early founders at the pre-seed stage.,http://hustlefund.vc/,hustlefund.vc,"Elizabeth Yin, Shiyan Koh, Eric Bahn, Haley Bryant",California,Mostly Follow,$25-100k,"Agnostic
Software / Code",Pre-Seed,No Target,Agnostic,-,"Web3 / Blockchain
Data & Analytics
AI / ML
Financial Services / Payments
Agriculture & Farming
Healthcare
Future of Work
Supply Chain & Logistics
Industrial & Manufacturing
Real Estate
Privacy & Security
Marketplaces
SaaS","We do not invest in art/film projects, pharmaceutical or medical device companies, solar panels, land, restaurants / physical retail or traditional brick and mortar small businesses.",https://www.linkedin.com/company/hustle-fund,https://www.crunchbase.com/organization/hustle-fund
Hyde Park Angels,"HPA turns entrepreneurial visions into reality. From seed to scaled companies, we provide organizational support with our human and financial capital as entrepreneurs prepare for funding rounds. Our platform leverages Member insights, domain expertise, and professional networks to grow startups into industry leaders.",http://www.hydeparkangels.com/,-,"Pete Wilkins, Michael Sachaj, Bess Goodfellow, Stephen Ross",Illinois,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"SaaS
AI / ML
Marketplaces
Privacy & Security
Supply Chain & Logistics
Industrial & Manufacturing
E-Commerce
Food & Beverages
Consumer Goods
Data & Analytics
Healthcare
Financial Services / Payments
Real Estate
Web3 / Blockchain",-,http://www.linkedin.com/company/hyde-park-angels,https://www.crunchbase.com/organization/hyde-park-angels
Hyde Park Venture Partners,"We’re an early-stage venture capital firm focused on high-growth, mid-continent technology startups. We seek companies with an exceptional founding team and fast-growth potential, looking to raise a first or second round of capital.",http://www.hydeparkvp.com/,greg@hydeparkvp.com,"Greg Barnes, Guy Turner, Allison Weil Lechnir, Ira Weiss",Illinois,Mostly Follow,-,Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"SaaS
Marketplaces",-,http://www.linkedin.com/company/hyde-park-venture-partners,https://www.crunchbase.com/organization/hyde-park-venture-partners
Hyperplane,"From manufacturing to healthcare, and security to robotics, technological advancements are accelerating the next era in every industry. We work closely with early-stage companies up and down the intelligence stack to help them see over the horizon and blaze the trail forward.",http://hyperplane.vc/,VivjanMyrto@hyperplane.vc,"Vivjan Myrto, John Murphy, Samara Gordon, Blake Billiet, Brendan Kohler",Massachusetts,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"AI / ML
Data & Analytics
SaaS
Financial Services / Payments
Healthcare
Supply Chain & Logistics
Hardware",-,https://www.linkedin.com/company/hyperplane-venture-capital,https://www.crunchbase.com/organization/hyperplane-venture-capital
Hypersphere Ventures,Hypersphere is proud to fund and build alongside projects that are enabling a more distributed digital economy.,https://hypersphere.ventures/,manager@hypersphere.ventures,"Ashley Tyson, Jack Platts",Florida,Can Lead,-,Software / Code,Seed,-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/hypersphere-ventures/,https://www.crunchbase.com/organization/hypersphere-ventures
Hyphen Capital,"We are founders, executives and industry leaders who invest in innovative companies at all stages.",https://www.hyphencap.com/,dave@hyphencap.com,Dave Lu,California,Mostly Follow,-,Agnostic,Seed,-,-,-,"Healthcare
Food & Beverages
Marketplaces
Real Estate
Financial Services / Payments",-,https://www.linkedin.com/company/hyphencap/about/,https://www.crunchbase.com/organization/hyphen-capital
I2BF Global Ventures,I2BF Global Ventures is a New York based venture capital group focused on early stage technology investments.,http://www.i2bf.com/,info@i2bf.com,"Alexander Korchevsky, Nizar El Hachem",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"CleanTech / Impact / Sustainability
Biotech
Hardware
Industrial & Manufacturing",-,http://www.linkedin.com/company/i2bf-global-ventures,https://www.crunchbase.com/organization/i2bf-global-ventures
IA Ventures,"IA Ventures is a seed stage venture capital firm that specializnvesting in seed-softwagre businvestmsents anhead of producth-market fintech sector.

 ",http://www.iaventures.com/,-,"Jesse Beyroutey, Brad Gillespie",New York,Mostly Follow,-,Software / Code,Seed,-,-,-,SaaS,-,http://www.linkedin.com/company/ia-ventures,https://www.crunchbase.com/organization/ia-ventures
IAG Capital Partners,IAG is a group of investors partnering with early stage and established management teams.,https://www.iagcapitalpartners.com/,info@msvcp.com,"Dennis Sacha, Joel Whitley",South Carolina,Mostly Follow,-,Agnostic,Seed,-,-,-,"IaaS
Biotech
Financial Services / Payments
SaaS",-,https://www.crunchbase.com/organization/iag-capital-partners,
Ibex Investors,Partnering with founders from seed through IPO and beyond.,https://www.ibexinvestors.com/,info@ibexinvestors.com,"Justin Borus, Gal Gitter, Nicole Priel, Michael Donnelly, Cooper Stainbrook, Ryan Mahon, Jeff Peters",Colorado,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Supply Chain & Logistics
Hardware
Privacy & Security
SaaS",-,https://www.linkedin.com/company/ibex-investors-llc/,https://www.crunchbase.com/organization/ibex-investors
Icon Ventures,"We are a multi-stage investor with a primary focus towards Series B and Series C rounds, favoring companies at the earliest stages of momentum with the goal of helping to create category winners. As a relationship driven firm, we partner with world-class venture investors to identify and lead financings in security, AI & data, consumer/SaaS and digital health.",http://www.iconventures.com/,info@iconventures.com,"Joe Horowitz, Tom Mawhinney, Jeb Miller, Preeti Rathi",California,Mostly Follow,-,Software / Code,"Series B
Growth",-,-,-,"Privacy & Security
AI / ML
SaaS
Healthcare",-,https://www.linkedin.com/company/icon-ventures?trk=company_logo,https://www.crunchbase.com/organization/iconventures
IDEA Fund Partners,We fund entrepreneurs who are applying technology and business model innovations to industries in the earliest stages of digital disruption with an emphasis on underserved places and stages.,http://www.ideafundpartners.com/,info@ideafundpartners.com,"Lister Delgado, Lewis Burnham",North Carolina,Can Lead,"$250-500k
$500k-1m",Agnostic,"Seed
Series A",-,-,-,"AI / ML
Data & Analytics
Food & Beverages
Marketplaces
E-Commerce",-,http://www.linkedin.com/company/idea-fund-partners,https://www.crunchbase.com/organization/idea-fund-partners
IDEO CoLab Ventures,"CoLab works across industries at the intersection of emerging tech, societal systems, and human need.",https://www.ideocolab.com/,-,"Paris Rouzati, Joe Gerber, Daniel Hodd",Massachusetts,Mostly Lead,-,Agnostic,"Pre-Seed
Seed",-,-,-,"AI / ML
Web3 / Blockchain
Hardware
Future of Work
CleanTech / Impact / Sustainability
Energy
Food & Beverages
Financial Services / Payments
Healthcare
Supply Chain & Logistics",-,https://www.linkedin.com/company/ideocolab,https://www.crunchbase.com/organization/ideo-colab
Illuminate Ventures,"Illuminate’s focus is on finding, funding and accelerating great founders in the B2B/Enterprise cloud and mobile computing space. We focus on companies building SaaS applications as well as solutions that leverage data and mobility to improve business results.",http://www.illuminate.com/,contact@illuminate.com,"Cindy Padnos, Jennifer Savage",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,B2B,-,"SaaS
Data & Analytics",-,https://www.linkedin.com/company/illuminate-ventures/,https://www.crunchbase.com/organization/illuminate-ventures
Imaginary Ventures,Imaginary backs leading brands across all consumer and commerce enablement categories.,https://imaginary.co/,hello@imaginary.co,"Natalie Massenet, Nick Brown, Kelly Dill, Logan Langberg, Andrew Maxman, Parth Dalal",New York,Mostly Lead,-,Agnostic,Series A,-,-,-,"Consumer Goods
Food & Beverages
Marketplaces
Data & Analytics
Future of Work",-,https://www.linkedin.com/company/imaginary/,https://www.crunchbase.com/organization/imaginary-ventures
Impact America Fund,We make early-stage investments in tech-driven businesses that create new frameworks of ownership and opportunity within marginalized communities.,http://www.impactamericafund.com/,info@impactamericafund.com,Kesha Cash,California,Mostly Follow,"$250-500k
$500k-1m
$1-3m",Software / Code,"Seed
Series A
Series B",-,-,-,"Financial Services / Payments
Marketplaces
Supply Chain & Logistics
SaaS
Data & Analytics
Education",-,https://www.linkedin.com/company/impact-america-fund/about/,https://www.crunchbase.com/organization/impact-america-fund
Impellent Ventures,"Super charging startups one investment at time. Pre-seed, Seed, occasional Series A. East Coast centric, but investing nationally.  We want to be your first call out and your first check in. It's never too early to connect. ",https://www.impellent.vc/,davidbrown@impellent.vc,"David Brown, Phil Beauregard",New York,Mostly Follow,-,Agnostic,"Pre-Seed
Seed",-,-,Series A,"SaaS
Financial Services / Payments
Privacy & Security
Gaming
Social / Communities
Healthcare
Future of Work
Food & Beverages
Consumer Goods
Sales & Marketing
E-Commerce
Real Estate
AI / ML",-,https://www.linkedin.com/company/impellent/about/,https://www.crunchbase.com/organization/impellent-ventures
Incisive Ventures,"Incisive Ventures focuses on technology companies that reduce friction at scale, targeting high-friction industries like Fintech, Supply Chain, Vertical SaaS, and Health and Fitness.  We tend to do mostly B2B or middleware, especially vertical market software.",https://incisive.vc/,https://bit.ly/pitchIV,Martin Tobias,Washington,Can Lead,$100-250k,Software / Code,Pre-Seed,No Target,B2B,Seed,"AI / ML
E-Commerce
Financial Services / Payments
Healthcare
IaaS
Industrial & Manufacturing
SaaS","Web3, Hardware, Anything requiring FDA approval, CPG.",https://www.linkedin.com/in/martintobias/,https://www.crunchbase.com/organization/incisive-ventures
Incite.org,"Incite.org’s mission is to empower teams with great ideas to solve important, underinvested-in challenges.",https://www.incite.org/,press@incite.org,"Swati Mylavarapu, Matthew Rogers, Keely Anson",California,Mostly Follow,-,Agnostic,Seed,-,-,-,"Food & Beverages
CleanTech / Impact / Sustainability
Biotech
Consumer Goods
Hardware
AI / ML",-,https://www.linkedin.com/company/incite-org/,https://www.crunchbase.com/organization/incite-org
Index Ventures,"Index Ventures is a venture capital firm based in London, San Francisco and Geneva, helping entrepreneurs turn bold ideas into transformative international businesses.",http://www.indexventures.com/,press@indexventures.com,"Stephane Kurgan, Neil Rimer, Jan Hammer, Dominique Vidal",California,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"AI / ML
Data & Analytics
Financial Services / Payments
Future of Work
Healthcare
Advertising & Media
Privacy & Security",-,http://www.linkedin.com/company/index-ventures,https://www.crunchbase.com/organization/index-ventures
Indicator Ventures,"Indicator Ventures is a pre-seed and seed-stage venture capital firm investing in founders building software that makes work, life, and wealth-building easier and more accessible.",http://www.indicatorventures.com/,info@indicatorventures.com,"Jonathan Struhl, Baiyin Murphy, Geoff Bernstein",New York,Can Lead,"$500k-1m
$1-3m",Software / Code,"Pre-Seed
Seed",7-10%,"B2B2C
B2B",-,"Healthcare
SaaS
Financial Services / Payments
Marketplaces
Data & Analytics
AI / ML",-,https://www.linkedin.com/company/indicator-ventures/,https://www.crunchbase.com/organization/indicator-ventures
Industry Ventures,"The firm proactively collaborates with founders, fund managers, and LPs across the venture lifecycle—from inception through exit.",http://www.industryventures.com/,info@industryventures.com,"Hans Swildens, Justin Burden, Roland Reynolds, Amir Malayery, Jonathan Roosevelt, Lindsay Sharma, Ira Simkhovitch, Geoff Lemieux, Fanni Fan, Brian Langner",California,Can Lead,-,Agnostic,Series A,-,-,Seed,"AI / ML
Healthcare
Financial Services / Payments
Social / Communities
Biotech
Data & Analytics
Marketplaces
Education
Privacy & Security",-,https://www.linkedin.com/company/industry-ventures/,https://www.crunchbase.com/organization/industry-ventures
Inertia Ventures,Inertia Ventures is an early-stage venture capital firm backing world-class entrepreneurs applying AI to disrupt the built world and high barrier to entry legacy industries.,https://www.inertia.vc/,intrigued@inertia.vc,"Nicolas Jacques-Bouchard, Nish Patel",New York,Mostly Follow,-,Software / Code,Seed,-,-,-,"AI / ML
Real Estate
Financial Services / Payments",-,https://www.linkedin.com/company/inertia-vc/,https://www.crunchbase.com/organization/inertia-ventures
Inflection,Inflection is an early stage venture firm investing into the open economy.,https://www.inflection.xyz/,john@inflection.xyz,"Alexander Lange, Alexander Lange, John Zannos",Massachusetts,Can Lead,$500k-1m,Software / Code,Seed,-,-,-,"Web3 / Blockchain
Financial Services / Payments
Future of Work
Advertising & Media",-,https://www.linkedin.com/company/inflection-vc/,https://www.crunchbase.com/organization/inflection-c0a7
Initialized Capital,"We provide early stage founders — from enterprise SaaS to sustainability, health to hard tech, artificial intelligence to infrastructure, consumer to crypto — with the tools to build their companies and navigate the venture landscape.",http://www.initialized.com/,contact@initialized.com,"Abdul Ly, Andrew Sather, Brett Gibson, Garry Tan, Jen Wolf, Jenny Fleiss, Kat Steinmetz, Kim-Mai Cutler, Parul Singh, Scott Moss, Zoe Perret",California,Mostly Lead,"$1-3m
> $3m",Agnostic,Seed,"10-12%
> 12%",Agnostic,-,"Web3 / Blockchain
SaaS
Financial Services / Payments
Healthcare
Marketplaces
Real Estate
Biotech
AI / ML
Agriculture & Farming
CleanTech / Impact / Sustainability
Data & Analytics
Future of Work
Industrial & Manufacturing
Privacy & Security",-,https://www.linkedin.com/company/initialized-capital,https://www.crunchbase.com/organization/initialized-capital
Inner Loop Capital,Inner Loop Capital is a Pre-Seed and Seed Venture Capital Firm Investing in Enterprise Technologies.,http://www.innerloopcap.com/,justin@innerloopcap.com,Justin Label,Maryland,Mostly Follow,-,Software / Code,"Pre-Seed
Seed",-,-,-,"Privacy & Security
Data & Analytics
IaaS",-,https://www.linkedin.com/company/innerloopcap/about/,https://www.crunchbase.com/organization/innerloop-capital
Innospark Ventures,We Invest at the Intersection of AI and Major Industries.,https://www.innospark.vc/,max.krause@innospark.vc,"Venkat Srinivasan, Deepak Verma, Matt Fates",Massachusetts,Mostly Lead,-,Software / Code,Seed,-,-,-,"AI / ML
Healthcare
Biotech
SaaS
Education",-,https://www.linkedin.com/company/innosparkventures/,https://www.crunchbase.com/organization/innospark-ventures
Innova Memphis,"We invest in early-stage, high-growth companies that have the potential to grow into significant economic contributors. Our focus is on companies with strong intellectual property or other competitive advantages in the Biosciences, Technology and AgTech fields.",http://innovamemphis.com/,ccrawford@innovamemphis.com,"Ken Woody, Jan Bouten, Dean Didato",Tennessee,Mostly Follow,-,Hardware / Physical Products,"Pre-Seed
Seed",-,-,-,"Biotech
Agriculture & Farming",-,https://www.linkedin.com/company/innova-memphis/about/,https://www.crunchbase.com/organization/innova-memphis
Innovation Endeavors,"We invest in visionary founders, transformational technology and emergent ecosystems for a new world.",http://www.innovationendeavors.com/,info@innovationendeavors.com,"Dror Berman, Scott Brady, Joel Dudley, Eric Schmidt, Harpinder (Harpi) Singh, Sam Smith-Eppsteiner, Bridget Storm, Davis Treybig",California,Mostly Lead,"$1-3m
> $3m",Agnostic,"Seed
Series A",-,-,-,"CleanTech / Impact / Sustainability
Biotech
AI / ML
Hardware
Privacy & Security
Consumer Goods
Industrial & Manufacturing",-,http://www.linkedin.com/company/innovation-endeavors,https://www.crunchbase.com/organization/innovation-endeavors
Inovia Capital,Inovia Capital is a venture capital firm partnering with founders to build impactful and enduring global companies.,https://www.inovia.vc/,info@inovia.vc,"Chris Arsenault, Dennis Kavelman, Hugues Lalancette, Karamdeep Nijjar, Magaly Charbonneau, Mia Morisset, Michael Mcgraw, Patrick Pichette, Raif Jacobs, Shawn Abbott, Taha Mubashir",Quebec,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"CleanTech / Impact / Sustainability
E-Commerce
Hardware
Data & Analytics
Healthcare
Education
Financial Services / Payments
Future of Work
Industrial & Manufacturing
Advertising & Media
Real Estate
Privacy & Security
Supply Chain & Logistics
Travel & Tourism",-,http://www.linkedin.com/company/inovia-capital/,https://www.crunchbase.com/organization/inovia-capital
